file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,2478703e,stephluooo,2025-01-16,17:23:58,-08:00,2025-01-16T17:23:58-08:00,0,21
style.css,55,css,2478703e,stephluooo,2025-01-16,17:23:58,-08:00,2025-01-16T17:23:58-08:00,0,0
style.css,56,css,2478703e,stephluooo,2025-01-16,17:23:58,-08:00,2025-01-16T17:23:58-08:00,0,0
style.css,57,css,2478703e,stephluooo,2025-01-16,17:23:58,-08:00,2025-01-16T17:23:58-08:00,0,6
style.css,58,css,769a2aab,stephluooo,2025-01-23,18:13:09,-08:00,2025-01-23T18:13:09-08:00,0,43
style.css,59,css,769a2aab,stephluooo,2025-01-23,18:13:09,-08:00,2025-01-23T18:13:09-08:00,0,24
style.css,60,css,769a2aab,stephluooo,2025-01-23,18:13:09,-08:00,2025-01-23T18:13:09-08:00,0,40
style.css,61,css,6b917dc6,stephluooo,2025-01-16,17:31:11,-08:00,2025-01-16T17:31:11-08:00,0,0
style.css,62,css,6b917dc6,stephluooo,2025-01-16,17:31:11,-08:00,2025-01-16T17:31:11-08:00,0,0
style.css,63,css,6b917dc6,stephluooo,2025-01-16,17:31:11,-08:00,2025-01-16T17:31:11-08:00,0,5
style.css,64,css,6b917dc6,stephluooo,2025-01-16,17:31:11,-08:00,2025-01-16T17:31:11-08:00,0,13
style.css,65,css,0861e379,stephluooo,2025-01-16,17:44:18,-08:00,2025-01-16T17:44:18-08:00,0,12
style.css,66,css,c7d209c2,stephluooo,2025-01-16,18:16:22,-08:00,2025-01-16T18:16:22-08:00,0,31
style.css,67,css,c7d209c2,stephluooo,2025-01-16,18:16:22,-08:00,2025-01-16T18:16:22-08:00,0,8
style.css,68,css,c7d209c2,stephluooo,2025-01-16,18:16:22,-08:00,2025-01-16T18:16:22-08:00,0,11
style.css,69,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,0
style.css,70,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,0
style.css,71,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,8
style.css,72,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,13
style.css,73,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,30
style.css,74,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,19
style.css,75,css,718c344e,stephluooo,2025-01-16,17:58:33,-08:00,2025-01-16T17:58:33-08:00,0,8
style.css,76,css,0053f1d1,stephluooo,2025-01-16,18:00:03,-08:00,2025-01-16T18:00:03-08:00,0,0
style.css,77,css,0053f1d1,stephluooo,2025-01-16,18:00:03,-08:00,2025-01-16T18:00:03-08:00,0,0
style.css,78,css,0053f1d1,stephluooo,2025-01-16,18:00:03,-08:00,2025-01-16T18:00:03-08:00,0,6
style.css,79,css,0053f1d1,stephluooo,2025-01-16,18:00:03,-08:00,2025-01-16T18:00:03-08:00,0,19
style.css,80,css,c1cc0ef3,stephluooo,2025-01-16,18:02:53,-08:00,2025-01-16T18:02:53-08:00,0,0
style.css,81,css,c1cc0ef3,stephluooo,2025-01-16,18:02:53,-08:00,2025-01-16T18:02:53-08:00,0,0
style.css,82,css,e5622503,stephluooo,2025-01-16,18:18:27,-08:00,2025-01-16T18:18:27-08:00,0,10
style.css,83,css,c1cc0ef3,stephluooo,2025-01-16,18:02:53,-08:00,2025-01-16T18:02:53-08:00,0,13
style.css,84,css,c1cc0ef3,stephluooo,2025-01-16,18:02:53,-08:00,2025-01-16T18:02:53-08:00,0,59
style.css,85,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,86,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,87,css,e5622503,stephluooo,2025-01-16,18:18:27,-08:00,2025-01-16T18:18:27-08:00,0,8
style.css,88,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,13
style.css,89,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,27
style.css,90,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,16
style.css,91,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,8
style.css,92,css,5f43da1e,stephluooo,2025-01-16,18:34:10,-08:00,2025-01-16T18:34:10-08:00,0,12
style.css,93,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,94,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,95,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,2
style.css,96,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,8
style.css,97,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,98,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,99,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,2
style.css,100,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,15
style.css,101,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,102,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,0
style.css,103,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,22
style.css,104,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,16
style.css,105,css,72c94097,stephluooo,2025-01-16,18:10:08,-08:00,2025-01-16T18:10:08-08:00,0,18
style.css,106,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,0
style.css,107,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,0
style.css,108,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,13
style.css,109,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,18
style.css,110,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,9
style.css,111,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,11
style.css,112,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,14
style.css,113,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,20
style.css,114,css,83bf1abf,stephluooo,2025-01-23,18:15:05,-08:00,2025-01-23T18:15:05-08:00,0,15
style.css,115,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,0
style.css,116,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,0
style.css,117,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,15
style.css,118,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,18
style.css,119,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,30
style.css,120,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,0
style.css,121,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,0
style.css,122,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,3
style.css,123,css,5cacb285,stephluooo,2025-01-31,17:53:29,-08:00,2025-01-31T17:53:29-08:00,0,13
